Year,"Alcohol use ",Drug use,High blood sugar,Obesity,High blood pressure,Smoking,"Air pollution "
1990,1800478.3077359567,250864.67587361866,3436970.408866191,2159329.452458732,6884458.978450781,5681577.793177892,4693071.312181505
1991,1864042.5383445949,267682.9468502783,3508798.3954073545,2222986.6427078135,6988580.17376903,5769043.286664337,4720094.144005302
1992,1939783.304056412,287034.8137557753,3597104.0649580616,2303362.649358615,7115388.804416498,5869243.8763031345,4745836.576784678
1993,2025045.603316636,306575.9507734342,3721781.680006681,2428019.2312995833,7329202.965778931,6023154.990263874,4768144.772027895
1994,2097212.994354764,325420.82379103696,3815828.8816519594,2524269.750571927,7469316.399581822,6115916.981666201,4773589.9130465295
1995,2144887.032677811,342556.7161564058,3886724.1200940916,2586034.5309964,7537548.157804777,6170797.451881009,4755628.878163251
1996,2168153.9756003753,353115.8403696047,3948468.2646743534,2632155.462310994,7568246.53468773,6180919.4784274995,4749140.800262079
1997,2199073.321718829,361142.9969347068,4033219.041742993,2688066.1216230965,7626124.417788239,6208120.344765425,4766895.258008511
1998,2236838.889838086,372086.70412636735,4117958.7186601637,2754377.070772423,7688173.700941966,6244660.279835658,4760687.912836489
1999,2292873.112661306,386344.7689795019,4224079.759261761,2860457.522575135,7817683.343806314,6298194.797707611,4726253.309659432
2000,2349425.5594000043,399074.8586485993,4324898.200201881,2941771.5750670615,7932073.942511317,6351837.677105028,4709245.489245559
2001,2385905.323830299,405362.8773684634,4438142.543234758,3015683.0590918204,8029451.542578827,6382733.901889055,4702796.730347776
2002,2443612.780800823,414358.03919498174,4611053.543099092,3121412.6855338174,8188714.68595545,6444008.309107475,4716666.140444263
2003,2494699.765802969,423709.2333830659,4787898.524363619,3217542.880799714,8325151.221296005,6500340.7072641,4725277.203789958
2004,2518388.9039558023,433106.59064846765,4880129.557916172,3262967.7820084775,8321914.695899379,6450954.751371218,4673825.64355014
2005,2562559.798516656,447740.2850228126,5016361.945349441,3357385.922355245,8440626.756151574,6457486.750924572,4650017.131192728
2006,2544467.64566111,452485.8340750143,5056877.019323992,3388547.8121663393,8416624.12530093,6375847.553951302,4615828.129145613
2007,2562325.476347104,458612.3074098153,5135848.389394545,3465994.58507053,8503613.80063578,6383033.915165979,4626412.075112266
2008,2621392.2870563106,467883.40279738116,5258887.048965418,3586561.4154070863,8699254.174391551,6447767.153272592,4671511.4346198905
2009,2628366.7503809854,474179.75749844156,5361133.733183252,3688360.7830753773,8863423.502981037,6495294.181717594,4713605.403868277
2010,2677117.844775097,481085.00603896746,5480476.469718134,3801353.307158906,9081676.319683028,6569515.346478227,4761102.2927080635
2011,2652024.8661935423,488733.82975186873,5597446.696336182,3895077.9557727985,9239375.173456158,6615962.057248077,4804868.945799183
2012,2667932.2555003474,496855.4929053303,5727642.57188415,4010870.8643959886,9410997.058599547,6663081.08557518,4770981.619096525
2013,2673153.3932451527,508271.64353180764,5842881.611970818,4122520.1959953676,9535296.958338488,6673225.404246758,4767978.050625717
2014,2706466.6920362036,526924.9121508303,6002241.7781298105,4272118.459091743,9756852.925839668,6764715.825262199,4775123.183699458
2015,2773307.3290040405,549156.8439109474,6218325.332671786,4462996.03172984,10070692.40440107,6936294.573047941,4875230.894217635
2016,2817609.6392630194,572922.9669870693,6399256.513664657,4614666.26193191,10293777.654105527,7046703.250918401,4863821.56709063
2017,2842854.195989893,585348.1801942628,6526028.192542808,4724346.293081812,10440818.47945214,7099111.294246201,4895475.998297713